ensembl_id,gene_symbol,alias,alias_norm,source
ENSG00000292363,CRLF2,TSLPR,tslpr,ensembl:human
ENSG00000292336,ASMT,ASMTY,asmty,ensembl:human
ENSG00000292336,ASMT,HIOMT,hiomt,ensembl:human
ENSG00000292336,ASMT,HIOMTY,hiomty,ensembl:human
ENSG00000292331,ASMTL-AS1,ASMTL-AS,asmtlas,ensembl:human
ENSG00000292331,ASMTL-AS1,CXYORF2,cxyorf2,ensembl:human
ENSG00000292331,ASMTL-AS1,FLJ13330,flj13330,ensembl:human
ENSG00000292331,ASMTL-AS1,NCRNA00105,ncrna00105,ensembl:human
ENSG00000291414,MIR4740,HSA-MIR-4740,hsamir4740,ensembl:human
ENSG00000291415,MIR3186,HSA-MIR-3186,hsamir3186,ensembl:human
ENSG00000291420,ACTG1,ACTG,actg,ensembl:human
ENSG00000291420,ACTG1,DFNA20,dfna20,ensembl:human
ENSG00000291420,ACTG1,DFNA26,dfna26,ensembl:human
ENSG00000292341,LINC00106,CXYORF8,cxyorf8,ensembl:human
ENSG00000292341,LINC00106,NCRNA00106,ncrna00106,ensembl:human
ENSG00000292341,LINC00106,OTTHUMG00000021061,otthumg00000021061,ensembl:human
ENSG00000310540,LINC02968,AL683807.1,al6838071,ensembl:human
ENSG00000291421,BAHCC1,BAHD2,bahd2,ensembl:human
ENSG00000291421,BAHCC1,KIAA1447,kiaa1447,ensembl:human
ENSG00000292362,CD99P1,CD99L1,cd99l1,ensembl:human
ENSG00000292362,CD99P1,CXYORF12,cxyorf12,ensembl:human
ENSG00000292362,CD99P1,MIC2R,mic2r,ensembl:human
ENSG00000292362,CD99P1,NCRNA00103,ncrna00103,ensembl:human
ENSG00000292345,ZBED1,ALTE,alte,ensembl:human
ENSG00000292345,ZBED1,DREF,dref,ensembl:human
ENSG00000292345,ZBED1,HDREF,hdref,ensembl:human
ENSG00000292345,ZBED1,KIAA0785,kiaa0785,ensembl:human
ENSG00000292345,ZBED1,TRAMP,tramp,ensembl:human
ENSG00000292327,PPP2R3B,PPP2R3L,ppp2r3l,ensembl:human
ENSG00000292327,PPP2R3B,PPP2R3LY,ppp2r3ly,ensembl:human
ENSG00000292327,PPP2R3B,PR48,pr48,ensembl:human
ENSG00000292327,PPP2R3B,PR70,pr70,ensembl:human
ENSG00000284885,GCNT2P1,BA421M1.3,ba421m13,ensembl:human
ENSG00000284885,GCNT2P1,GCNT2P,gcnt2p,ensembl:human
ENSG00000284885,GCNT2P1,GCNT6,gcnt6,ensembl:human
ENSG00000292348,CD99,MIC2,mic2,ensembl:human
ENSG00000292348,CD99,MIC2X,mic2x,ensembl:human
ENSG00000292348,CD99,MIC2Y,mic2y,ensembl:human
ENSG00000285226,PAK1IP1,BA421M1.5,ba421m15,ensembl:human
ENSG00000285226,PAK1IP1,FLJ20624,flj20624,ensembl:human
ENSG00000285226,PAK1IP1,HPIP1,hpip1,ensembl:human
ENSG00000285226,PAK1IP1,MAK11,mak11,ensembl:human
ENSG00000285226,PAK1IP1,PIP1,pip1,ensembl:human
ENSG00000285226,PAK1IP1,WDR84,wdr84,ensembl:human
ENSG00000284936,TMEM14C,BA421M1.6,ba421m16,ensembl:human
ENSG00000284936,TMEM14C,C6ORF53,c6orf53,ensembl:human
ENSG00000284936,TMEM14C,HSPC194,hspc194,ensembl:human
ENSG00000284936,TMEM14C,NET26,net26,ensembl:human
ENSG00000292344,PLCXD1,FLJ11323,flj11323,ensembl:human
ENSG00000285222,GCNT2,BA360O19.2,ba360o192,ensembl:human
ENSG00000285222,GCNT2,BA421M1.1,ba421m11,ensembl:human
ENSG00000285222,GCNT2,CCAT,ccat,ensembl:human
ENSG00000285222,GCNT2,GCNT5,gcnt5,ensembl:human
ENSG00000285222,GCNT2,IGNT,ignt,ensembl:human
ENSG00000285222,GCNT2,II,ii,ensembl:human
ENSG00000285222,GCNT2,NACGT1,nacgt1,ensembl:human
ENSG00000285222,GCNT2,NAGCT1,nagct1,ensembl:human
ENSG00000285222,GCNT2,ULG3,ulg3,ensembl:human
ENSG00000292333,P2RY8,P2Y8,p2y8,ensembl:human
ENSG00000292332,IL3RA,CD123,cd123,ensembl:human
